date,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all,weather_main,weather_description,is_na_filled,rentals_no,is_weekend,bank_holidays,is_not_working_day,month
2015-04-28 11:00:00,14.17900000000003,14.17900000000003,14.17900000000003,999.0,84.0,4.0,333.0,92.0,Rain,light rain,0,6.0,False,False,False,Apr
2015-04-28 12:00:00,14.17900000000003,14.17900000000003,14.17900000000003,999.0,84.0,4.0,333.0,92.0,Rain,light rain,1,38.0,False,False,False,Apr
2015-04-28 13:00:00,12.980000000000018,12.980000000000018,12.980000000000018,1000.0,81.0,7.0,323.0,92.0,Rain,light rain,0,32.0,False,False,False,Apr
2015-04-28 14:00:00,12.980000000000018,12.980000000000018,12.980000000000018,1000.0,81.0,7.0,323.0,92.0,Rain,light rain,1,55.0,False,False,False,Apr
2015-04-28 15:00:00,8.44500000000005,8.44500000000005,8.44500000000005,1002.0,94.0,9.0,329.0,92.0,Rain,light rain,0,60.0,False,False,False,Apr
2015-04-28 16:00:00,8.44500000000005,8.44500000000005,8.44500000000005,1002.0,94.0,9.0,329.0,92.0,Rain,light rain,1,63.0,False,False,False,Apr
2015-04-28 17:00:00,12.117000000000019,12.117000000000019,12.117000000000019,1002.0,77.0,8.0,328.0,92.0,Rain,light rain,0,50.0,False,False,False,Apr
2015-04-28 18:00:00,12.117000000000019,12.117000000000019,12.117000000000019,1002.0,77.0,8.0,328.0,92.0,Rain,light rain,1,30.0,False,False,False,Apr
2015-04-28 19:00:00,6.51400000000001,6.51400000000001,6.51400000000001,1006.0,93.0,11.0,319.0,92.0,Rain,light rain,0,28.0,False,False,False,Apr
2015-04-28 20:00:00,6.51400000000001,6.51400000000001,6.51400000000001,1006.0,93.0,11.0,319.0,92.0,Rain,light rain,0,15.0,False,False,False,Apr
2015-04-28 21:00:00,6.51400000000001,6.51400000000001,6.51400000000001,1006.0,93.0,11.0,319.0,92.0,Rain,light rain,1,17.0,False,False,False,Apr
2015-04-28 22:00:00,4.424000000000035,4.424000000000035,4.424000000000035,1009.0,94.0,9.0,316.0,92.0,Rain,light rain,0,18.0,False,False,False,Apr
2015-04-28 23:00:00,4.424000000000035,4.424000000000035,4.424000000000035,1009.0,94.0,9.0,316.0,92.0,Rain,light rain,1,6.0,False,False,False,Apr
2015-04-29 00:00:00,5.673000000000002,5.673000000000002,5.673000000000002,1011.0,90.0,6.0,307.0,92.0,Rain,light rain,0,16.0,False,False,False,Apr
2015-04-29 01:00:00,5.673000000000002,5.673000000000002,5.673000000000002,1011.0,90.0,6.0,307.0,92.0,Rain,light rain,1,4.0,False,False,False,Apr
2015-04-29 02:00:00,5.673000000000002,5.673000000000002,5.673000000000002,1011.0,90.0,6.0,307.0,92.0,Rain,light rain,0,3.0,False,False,False,Apr
2015-04-29 03:00:00,5.673000000000002,5.673000000000002,5.673000000000002,1011.0,90.0,6.0,307.0,92.0,Rain,light rain,1,1.0,False,False,False,Apr
2015-04-29 04:00:00,5.549000000000035,5.549000000000035,5.549000000000035,1013.0,86.0,5.0,308.0,20.0,Clouds,few clouds,0,1.0,False,False,False,Apr
2015-04-29 05:00:00,5.549000000000035,5.549000000000035,5.549000000000035,1013.0,86.0,5.0,308.0,20.0,Clouds,few clouds,1,1.0,False,False,False,Apr
2015-04-29 06:00:00,6.329000000000065,6.329000000000065,6.329000000000065,1014.0,86.0,6.0,304.0,44.0,Clouds,scattered clouds,0,25.0,False,False,False,Apr
2015-04-29 07:00:00,6.329000000000065,6.329000000000065,6.329000000000065,1014.0,86.0,6.0,304.0,44.0,Clouds,scattered clouds,1,61.0,False,False,False,Apr
2015-04-29 08:00:00,6.329000000000065,6.329000000000065,6.329000000000065,1014.0,86.0,6.0,304.0,44.0,Clouds,scattered clouds,0,102.0,False,False,False,Apr
2015-04-29 09:00:00,6.329000000000065,6.329000000000065,6.329000000000065,1014.0,86.0,6.0,304.0,44.0,Clouds,scattered clouds,1,81.0,False,False,False,Apr
2015-04-29 10:00:00,8.452000000000055,8.452000000000055,8.452000000000055,1016.0,82.0,6.0,302.0,20.0,Clouds,few clouds,0,96.0,False,False,False,Apr
2015-04-29 11:00:00,8.452000000000055,8.452000000000055,8.452000000000055,1016.0,82.0,6.0,302.0,20.0,Clouds,few clouds,1,111.0,False,False,False,Apr
2015-04-29 12:00:00,10.995999999999981,10.995999999999981,10.995999999999981,1016.0,76.0,4.0,299.0,0.0,Clear,Sky is Clear,0,123.0,False,False,False,Apr
2015-04-29 13:00:00,10.995999999999981,10.995999999999981,10.995999999999981,1016.0,76.0,4.0,299.0,0.0,Clear,Sky is Clear,1,176.0,False,False,False,Apr
2015-04-29 14:00:00,10.995999999999981,10.995999999999981,10.995999999999981,1016.0,76.0,4.0,299.0,0.0,Clear,Sky is Clear,0,195.0,False,False,False,Apr
2015-04-29 15:00:00,10.995999999999981,10.995999999999981,10.995999999999981,1016.0,76.0,4.0,299.0,0.0,Clear,Sky is Clear,1,243.0,False,False,False,Apr
2015-04-29 16:00:00,12.175000000000011,12.175000000000011,12.175000000000011,1015.0,63.0,3.0,349.0,0.0,Clear,Sky is Clear,0,320.0,False,False,False,Apr
2015-04-29 17:00:00,12.175000000000011,12.175000000000011,12.175000000000011,1015.0,63.0,3.0,349.0,0.0,Clear,Sky is Clear,1,288.0,False,False,False,Apr
2015-04-29 18:00:00,12.175000000000011,12.175000000000011,12.175000000000011,1015.0,63.0,3.0,349.0,0.0,Clear,Sky is Clear,1,310.0,False,False,False,Apr
2015-04-29 19:00:00,9.260000000000048,9.260000000000048,9.260000000000048,1015.0,58.0,1.0,48.0,0.0,Clear,Sky is Clear,0,278.0,False,False,False,Apr
2015-04-29 20:00:00,9.260000000000048,9.260000000000048,9.260000000000048,1015.0,58.0,1.0,48.0,0.0,Clear,Sky is Clear,1,184.0,False,False,False,Apr
2015-04-29 21:00:00,9.260000000000048,9.260000000000048,9.260000000000048,1015.0,58.0,1.0,48.0,0.0,Clear,Sky is Clear,1,95.0,False,False,False,Apr
2015-04-29 22:00:00,4.954000000000065,4.954000000000065,4.954000000000065,1015.0,65.0,2.0,67.0,20.0,Clouds,few clouds,0,65.0,False,False,False,Apr
2015-04-29 23:00:00,4.954000000000065,4.954000000000065,4.954000000000065,1015.0,65.0,2.0,67.0,20.0,Clouds,few clouds,0,33.0,False,False,False,Apr
2015-04-30 00:00:00,4.954000000000065,4.954000000000065,4.954000000000065,1015.0,65.0,2.0,67.0,20.0,Clouds,few clouds,1,35.0,False,False,False,Apr
2015-04-30 01:00:00,3.937000000000012,3.937000000000012,3.937000000000012,1014.0,70.0,3.0,100.0,32.0,Clouds,scattered clouds,0,14.0,False,False,False,Apr
2015-04-30 02:00:00,3.937000000000012,3.937000000000012,3.937000000000012,1014.0,70.0,3.0,100.0,32.0,Clouds,scattered clouds,1,6.0,False,False,False,Apr
2015-04-30 03:00:00,3.5880000000000223,3.5880000000000223,3.5880000000000223,1013.0,74.0,2.0,110.0,36.0,Clouds,scattered clouds,0,4.0,False,False,False,Apr
2015-04-30 04:00:00,3.5880000000000223,3.5880000000000223,3.5880000000000223,1013.0,74.0,2.0,110.0,36.0,Clouds,scattered clouds,1,5.0,False,False,False,Apr
2015-04-30 05:00:00,3.5880000000000223,3.5880000000000223,3.5880000000000223,1013.0,74.0,2.0,110.0,36.0,Clouds,scattered clouds,0,5.0,False,False,False,Apr
2015-04-30 06:00:00,3.5880000000000223,3.5880000000000223,3.5880000000000223,1013.0,74.0,2.0,110.0,36.0,Clouds,scattered clouds,1,36.0,False,False,False,Apr
2015-04-30 07:00:00,7.399000000000058,7.399000000000058,7.399000000000058,1012.0,68.0,3.0,128.0,48.0,Clouds,scattered clouds,0,132.0,False,False,False,Apr
2015-04-30 08:00:00,7.399000000000058,7.399000000000058,7.399000000000058,1012.0,68.0,3.0,128.0,48.0,Clouds,scattered clouds,0,133.0,False,False,False,Apr
2015-04-30 09:00:00,7.399000000000058,7.399000000000058,7.399000000000058,1012.0,68.0,3.0,128.0,48.0,Clouds,scattered clouds,1,117.0,False,False,False,Apr
2015-04-30 10:00:00,12.422000000000025,12.422000000000025,12.422000000000025,1011.0,66.0,4.0,185.0,68.0,Clouds,broken clouds,0,128.0,False,False,False,Apr
2015-04-30 11:00:00,12.422000000000025,12.422000000000025,12.422000000000025,1011.0,66.0,4.0,185.0,68.0,Clouds,broken clouds,1,125.0,False,False,False,Apr
2015-04-30 12:00:00,14.597000000000037,14.597000000000037,14.597000000000037,1009.0,63.0,5.0,200.0,68.0,Clouds,broken clouds,0,199.0,False,False,False,Apr
2015-04-30 13:00:00,14.597000000000037,14.597000000000037,14.597000000000037,1009.0,63.0,5.0,200.0,68.0,Clouds,broken clouds,1,192.0,False,False,False,Apr
2015-04-30 14:00:00,14.597000000000037,14.597000000000037,14.597000000000037,1009.0,63.0,5.0,200.0,68.0,Clouds,broken clouds,0,234.0,False,False,False,Apr
2015-04-30 15:00:00,14.597000000000037,14.597000000000037,14.597000000000037,1009.0,63.0,5.0,200.0,68.0,Clouds,broken clouds,1,243.0,False,False,False,Apr
2015-04-30 16:00:00,14.48599999999999,14.48599999999999,14.48599999999999,1009.0,60.0,4.0,219.0,88.0,Clouds,overcast clouds,0,304.0,False,False,False,Apr
2015-04-30 17:00:00,14.48599999999999,14.48599999999999,14.48599999999999,1009.0,60.0,4.0,219.0,88.0,Clouds,overcast clouds,1,308.0,False,False,False,Apr
